CD_OSCAR,STATION_NAME,CD_STATION,TP_STATION,START_DATE_OPERATION,END_DATE_OPERATION,LONGITUDE,LATITUDE,HEIGHT,CD_SITUATION,CD_WSI,IS_CAPITAL,CD_DISTRICT,INSTITUTE,STATE
0-2000-0-81954,IBIMIRIM,A349,Automatic,2008-10-14 00:00:00+00:00,,-37.71166666,-8.50944444,434.23,Operative,0-76-0-2606606000000436,False, 03,INMET,PE
0-2000-0-86821,IBIRITE (ROLA MOCA),A555,Automatic,2008-06-06 00:00:00+00:00,,-44.01111111,-20.03138888,1198.82,Operative,0-76-0-3129806000000378,False, 05,INMET,MG
0-2000-0-86974,IBIRUBA,A883,Automatic,2012-12-13 00:00:00+00:00,,-53.11194444,-28.65333333,455.27,Operative,0-76-0-4310009000000491,False, 08,INMET,RS
0-2000-0-86843,IBITINGA,A737,Automatic,2007-11-09 00:00:00+00:00,,-48.79972221,-21.85555555,496.75,Down,0-76-0-3519600000000267,False, 07,INMET,SP
0-2000-0-86653,IBOTIRAMA,A439,Automatic,2008-04-28 00:00:00+00:00,,-43.21333333,-12.19305555,425.12,Operative,0-76-0-2913200000000355,False, 04,INMET,BA
0-2000-0-86897,ICARAIMA,A824,Automatic,2006-11-16 00:00:00+00:00,,-53.63583333,-23.39027777,381.29,Down,0-76-0-4109906000000139,False, 08,INMET,PR
0-2000-0-86923,IGUAPE,A712,Automatic,2006-07-20 00:00:00+00:00,,-47.54583333,-24.67166666,2.7,Operative,0-76-0-3520301000000088,False, 07,INMET,SP
0-2000-0-81873,IGUATU,A319,Automatic,2007-05-30 00:00:00+00:00,,-39.26888888,-6.39638888,221.56,Operative,0-76-0-2305506000000200,False, 03,INMET,CE
0-2000-0-86699,ILHEUS,A410,Automatic,2003-01-25 00:00:00+00:00,,-39.18138888,-14.65888888,80.21,Operative,0-76-0-2913606000000045,False, 04,INMET,BA
0-2000-0-81822,IMPERATRIZ,A225,Automatic,2008-03-01 00:00:00+00:00,,-47.45972222,-5.55583333,117.96,Down,0-76-0-2105302000000299,False, 02,INMET,MA
0-2000-0-86929,INACIO MARTINS,A823,Automatic,2006-10-16 00:00:00+00:00,,-51.077946,-25.567879,1208.85,Operative,0-76-0-4110201000000117,False, 08,INMET,PR
0-2000-0-86946,INDAIAL,A817,Automatic,2006-07-02 00:00:00+00:00,,-49.26805554,-26.91361111,72.24,Operative,0-76-0-4207502000000080,False, 08,INMET,SC
0-2000-0-81837,IPANGUACU,A372,Automatic,2017-11-08 00:00:00+00:00,,-36.87222221,-5.53499999,19.0,Operative,0-76-0-2404705000000568,False, 03,INMET,RN
0-2000-0-86907,IPERO,A713,Automatic,2006-08-22 00:00:00+00:00,,-47.58555555,-23.4261111,609.33,Operative,0-76-0-3552205000000098,False, 07,INMET,SP
0-2000-0-86698,IPIAU,A445,Automatic,2009-06-30 00:00:00+00:00,,-39.69249999,-14.17138888,132.11,Operative,0-76-0-2913903000000452,False, 04,INMET,BA
0-2000-0-86731,IPORA,A028,Automatic,2013-06-24 00:00:00+00:00,,-51.14888888,-16.42305554,610.41,Operative,0-76-0-5210208000000493,False, 10,INMET,GO
0-2000-0-86635,IRECE,A424,Automatic,2008-03-31 00:00:00+00:00,,-41.86444444,-11.32888888,768.42,Operative,0-76-0-2914604000000325,False, 04,INMET,BA
0-2000-0-86601,ITABAIANA,A451,Automatic,2017-04-24 00:00:00+00:00,,-37.47138888,-10.67166666,213.0,Down,0-76-0-2802908000000544,False, 04,INMET,SE
0-2000-0-86638,ITABAIANINHA,A417,Automatic,2007-05-23 00:00:00+00:00,,-37.79499999,-11.27249999,204.8,Operative,0-76-0-2803005000000191,False, 04,INMET,SE
0-2000-0-86656,ITABERABA,A408,Automatic,2003-01-29 00:00:00+00:00,,-40.29972221,-12.52416666,250.11,Operative,0-76-0-2914703000000048,False, 04,INMET,BA
0-2000-0-81733,ITACOATIARA,A121,Automatic,2008-04-17 00:00:00+00:00,,-58.48277777,-3.13333333,41.54,Operative,0-76-0-1301902000000340,False, 01,INMET,AM
0-2000-0-81778,ITAITUBA,A231,Automatic,2008-02-17 00:00:00+00:00,,-55.99305555,-4.27694443,24.46,Operative,0-76-0-1503606000000290,False, 02,INMET,PA
0-2000-0-86948,ITAJAI,A868,Automatic,2010-06-24 00:00:00+00:00,,-48.76194444,-26.95083333,9.76,Operative,0-76-0-4208203000000461,False, 08,INMET,SC
0-2000-0-86760,ITAMARAJU,A455,Automatic,2016-05-28 00:00:00+00:00,,-39.55805555,-17.00694444,110.0,Operative,0-76-0-2915601000000514,False, 04,INMET,BA
0-2000-0-86742,ITAOBIM,A550,Automatic,2007-09-05 00:00:00+00:00,,-41.48555555,-16.57555554,271.63,Operative,0-76-0-3133303000000251,False, 05,INMET,MG
